Пол,Возраст,1. Какие факторы мотивируют вас сдавать кровь?,2. Что для вас наиболее важно в процессе донорства?,3. Какие преимущества вы бы хотели получать как донор?,"4. Есть ли у вас какие-либо опасения или страхи, связанные с процессом сдачи крови?",5. Используете ли вы когда-либо приложения для доноров?,6. Какие функции мобильного приложения или веб-сайта для доноров вы бы хотели использовать?,7. Какой информацией вы бы хотели быть обеспечены перед сдачей крови?
Ж,22,Желание помочь другим,"Удобное местоположение пункта сдачи крови, Минимальное время ожидания","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Да, регулярно","Запись на сдачу крови, Уведомления о потребности в группе крови",Рекомендации по подготовке
М,21,Социальная ответственность,Профессионализм и доброжелательность персонала,Приоритетная запись в пунктах сдачи крови,"Опасения по поводу безопасности, Страх перед возможными побочными эффектами","Не знаю о таких приложениях, Да, иногда","Личное портфолио, Отслеживание прогресса",как моя кровь поможет пациентам
Ж,19,Признание в обществе,"Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Не знаю о таких приложениях, Да, иногда","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим","Статистика о дефиците групп крови, Детали о побочных эффектах"
Ж,24,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора",Страх перед долгими ожиданиями,"Не знаю о таких приложениях, Да, иногда",Просмотр информации о том,"Рекомендации по восстановлению после сдачи, Истории доноров"
Ж,21,"Чувство социальной ответственности, Признание в обществе",Преимущества для регулярных доноров,"Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Нет, не вижу в этом необходимости","Истории успешных случаев, Возможность общаться с другими донорами",Контактные данные для обратной связи
М,19,Личный опыт,Минимальное время ожидания,Скидки и акции от партнеров,"Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов",Не знаю о таких приложениях,Интерактивные карты,Другое
Ж,25,"Моральное удовлетворение, Получение наград или привилегий","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям",Бесплатные медицинские обследования,что кровь действительно нужна,регулярно,"Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим",Детали о побочных эффектах
Ж,24,"Желание помочь другим, Признание в обществе",Процесс сдачи крови без боли,Приоритетная запись,"Опасения по поводу недостаточного питания, Страх перед долгими ожиданиями","Да, иногда","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим",Статистика о дефиците групп крови
Ж,25,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям",Мотивационные программы,"Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Не знаю о таких приложениях, Да, иногда",Истории успешных случаев,Информация о безопасности
Ж,22,Получение наград или привилегий,"Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Скидки и акции от партнеров, Специальные медали для донора",Страх уколов,Не знаю о таких приложениях,Просмотр информации о том,"Контактные данные для обратной связи, Рекомендации по восстановлению"
Ж,20,"Желание помочь другим, Признание в обществе","Удобное местоположение пункта сдачи крови, Минимальное время ожидания",Бесплатные медицинские обследования,"Страх уколов, Боязнь боли","Да, регулярно","Запись на сдачу крови, Уведомления о потребности в группе крови","Информация о процессе сдачи, Рекомендации по подготовке"
М,21,"Социальная ответственность, Личный опыт","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Скидки и акции от партнеров, Приоритетная запись в пунктах сдачи крови","Опасения по поводу безопасности, Страх перед возможными побочными эффектами","Да, иногда","Личное портфолио, Отслеживание прогресса","Пояснения о том, как моя кровь поможет пациентам, Информация о безопасности сдачи"
Ж,25,"Желание помочь другим, Признание в обществе","Удобное местоположение пункта сдачи крови, Преимущества для регулярных доноров",Мотивационные программы,"Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов",никогда,"Напоминания о следующей сдаче, Календарь донорских акций","Статистика о дефиците групп крови, Детали о побочных эффектах"
М,21,Получение наград или привилегий,Быстрое и комфортное оформление,"Бесплатные медицинские обследования, Специальные медали для донора","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Нет, но планирую начать",Информация о пунктах сдачи крови поблизости,Рекомендации по восстановлению после сдачи
Ж,25,Чувство социальной ответственности,"Процесс сдачи крови без боли, Преимущества для регулярных доноров","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора",Страх уколов,"Нет, не вижу в этом необходимости","Истории успешных случаев, Возможность общаться с другими донорами",Расписание работы пунктов сдачи крови
Ж,25,"Личный опыт, Желание помочь другим",Минимальное время ожидания,"Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора",что после сдачи крови буду плохо себя чувствовать,Не знаю о таких приложениях,Вопросы и ответы для новичков,Другое
Ж,22,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям",Мотивационные программы,"Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов",Да,"Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим","Информация о процессе сдачи, Детали о побочных эффектах"
М,19,"Желание помочь другим, Социальная ответственность","Процесс сдачи крови без боли, Профессионализм и доброжелательность персонала","Приоритетная запись, Участие в просветительских акциях",Опасения по поводу недостаточного питания,"Да, иногда",Информация о пунктах сдачи крови поблизости,"Рекомендации по подготовке, Статистика о дефиците групп крови"
Ж,23,"Желание помочь другим, Признание в обществе",Возможность записи на сдачу крови заранее,"Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора",Боязнь боли,"Нет, никогда","Календарь донорских акций, Истории успешных случаев",Информация о безопасности
Ж,20,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора",Страх перед возможными побочными эффектами,Не знаю о таких приложениях,"Просмотр информации о том, как моя кровь помогла, Напоминания о следующей сдаче","Контактные данные для обратной связи, Рекомендации по восстановлению"
Ж,22,"Желание помочь другим, Признание в обществе","Удобное местоположение пункта сдачи крови, Минимальное время ожидания","Бесплатные медицинские обследования, Награды за количество сдач","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Не знаю о таких приложениях, Да, иногда","Запись на сдачу крови, Уведомления о потребности в группе крови","Информация о процессе сдачи, Рекомендации по подготовке"
Ж,23,"Желание помочь другим, Признание в обществе","Процесс сдачи крови без боли, Профессионализм и доброжелательность персонала",Приоритетная запись в пунктах сдачи крови,"Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов",Да,"Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим","Пояснения о том, как моя кровь поможет пациентам, Информация о безопасности сдачи"
Ж,21,"Желание помочь другим, Признание в обществе","Удобное местоположение пункта сдачи крови, Преимущества для регулярных доноров","Участие в закрытых мероприятиях для доноров, Мотивационные программы","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Не знаю о таких приложениях, Да, иногда","Напоминания о следующей сдаче, Календарь донорских акций","Статистика о дефиците групп крови, Детали о побочных эффектах"
Ж,24,"Желание помочь другим, Признание в обществе","Быстрое и комфортное оформление, Чистота и удобство помещения","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Страх перед долгими ожиданиями, Опасения по поводу безопасности","Нет, но планирую начать","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим","Рекомендации по восстановлению после сдачи, Истории доноров"
Ж,21,"Чувство социальной ответственности, Признание в обществе",Преимущества для регулярных доноров,Награды за количество сдач,Страх уколов,"Нет, не вижу в этом необходимости",Возможность общаться с другими донорами,Расписание работы пунктов сдачи крови
Ж,24,Личный опыт,"Процесс сдачи крови без боли, Минимальное время ожидания","Скидки и акции от партнеров, Приоритетная запись","Страх, что после сдачи крови буду плохо себя чувствовать, Боязнь боли",Не знаю о таких приложениях,"Интерактивные карты, Вопросы и ответы для новичков",Другое
Ж,20,Моральное удовлетворение,"Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора",Страх уколов,Да,"Напоминания о следующей сдаче, Личное портфолио",Информация о процессе сдачи
М,23,Желание помочь другим,"Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Опасения по поводу недостаточного питания, Страх перед долгими ожиданиями",Да,"Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим",Статистика о дефиците групп крови
Ж,20,"Личный опыт, Чувство социальной ответственности","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям",Мотивационные программы,Опасения по поводу безопасности,никогда,Календарь донорских акций,Информация о безопасности
М,22,"Признание в обществе, Получение наград или привилегий","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Скидки и акции от партнеров, Специальные медали для донора","Страх перед возможными побочными эффектами, Страх уколов",Не знаю о таких приложениях,"Просмотр информации о том, как моя кровь помогла, Напоминания о следующей сдаче","Контактные данные для обратной связи, Рекомендации по восстановлению"
Ж,24,Желание помочь другим,"Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Награды за количество сдач","Страх уколов, Боязнь боли","Не знаю о таких приложениях, Да, иногда",Уведомления о потребности в группе крови,"Информация о процессе сдачи, Рекомендации по подготовке"
М,22,"Желание помочь другим, Признание в обществе","Процесс сдачи крови без боли, Профессионализм и доброжелательность персонала","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора",Опасения по поводу безопасности,"Не знаю о таких приложениях, Да, иногда","Личное портфолио, Отслеживание прогресса",Пояснения о том
Ж,25,"Желание помочь другим, Признание в обществе","Удобное местоположение пункта сдачи крови, Преимущества для регулярных доноров",Участие в закрытых мероприятиях для доноров,что кровь действительно нужна,"Не знаю о таких приложениях, Да, иногда","Напоминания о следующей сдаче, Календарь донорских акций","Статистика о дефиците групп крови, Детали о побочных эффектах"
М,25,"Благодарность от медицинских учреждений, Получение наград или привилегий","Быстрое и комфортное оформление, Чистота и удобство помещения",Бесплатные медицинские обследования,"Страх перед долгими ожиданиями, Опасения по поводу безопасности","Не знаю о таких приложениях, Да, иногда",Просмотр информации о том,"Рекомендации по восстановлению после сдачи, Истории доноров"
Ж,23,"Чувство социальной ответственности, Признание в обществе","Процесс сдачи крови без боли, Преимущества для регулярных доноров","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора",Опасения по поводу недостаточного питания,Нет,Истории успешных случаев,Расписание работы пунктов сдачи крови
Ж,21,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Скидки и акции от партнеров, Приоритетная запись","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов",Не знаю о таких приложениях,Вопросы и ответы для новичков,Другое
Ж,24,"Моральное удовлетворение, Получение наград или привилегий",Преимущества для регулярных доноров,Бесплатные медицинские обследования,"Неуверенность в том, что кровь действительно нужна, Страх уколов","Да, регулярно","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим",Детали о побочных эффектах
Ж,19,Социальная ответственность,Процесс сдачи крови без боли,Приоритетная запись,Страх перед долгими ожиданиями,"Да, иногда","Запись на сдачу крови, Информация о пунктах сдачи крови поблизости","Рекомендации по подготовке, Статистика о дефиците групп крови"
Ж,19,"Личный опыт, Чувство социальной ответственности","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям",Мотивационные программы,"Боязнь боли, Опасения по поводу безопасности","Нет, никогда",Истории успешных случаев,"Пояснения о том, как моя кровь поможет, Информация о безопасности"
Ж,23,"Признание в обществе, Получение наград или привилегий",Чистота и удобство помещения,Скидки и акции от партнеров,"Страх перед возможными побочными эффектами, Страх уколов","Не знаю о таких приложениях, Да, иногда","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим","Контактные данные для обратной связи, Рекомендации по восстановлению"
Ж,25,Моральное удовлетворение,Удобное местоположение пункта сдачи крови,Бесплатные медицинские обследования,Боязнь боли,"Да, регулярно","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим","Информация о процессе сдачи, Рекомендации по подготовке"
Ж,23,"Желание помочь другим, Признание в обществе","Процесс сдачи крови без боли, Профессионализм и доброжелательность персонала","Скидки и акции от партнеров, Приоритетная запись в пунктах сдачи крови",Страх перед возможными побочными эффектами,"Да, иногда",Личное портфолио,"Пояснения о том, как моя кровь поможет пациентам, Информация о безопасности сдачи"
Ж,20,"Желание помочь другим, Признание в обществе","Удобное местоположение пункта сдачи крови, Преимущества для регулярных доноров","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора",что после сдачи крови буду плохо себя чувствовать,"Не знаю о таких приложениях, Да, иногда",Календарь донорских акций,"Статистика о дефиците групп крови, Детали о побочных эффектах"
М,22,"Желание помочь другим, Признание в обществе","Быстрое и комфортное оформление, Чистота и удобство помещения",Бесплатные медицинские обследования,Опасения по поводу безопасности,"Нет, но планирую начать",Информация о пунктах сдачи крови поблизости,Рекомендации по восстановлению после сдачи
Ж,21,Признание в обществе,"Процесс сдачи крови без боли, Преимущества для регулярных доноров","Награды за количество сдач, Участие в закрытых мероприятиях",Опасения по поводу недостаточного питания,"Нет, не вижу в этом необходимости","Истории успешных случаев, Возможность общаться с другими донорами",Расписание работы пунктов сдачи крови
Ж,25,Желание помочь другим,"Процесс сдачи крови без боли, Минимальное время ожидания",Скидки и акции от партнеров,"Страх, что после сдачи крови буду плохо себя чувствовать, Боязнь боли","Не знаю о таких приложениях, Да, иногда",Интерактивные карты,Другое
Ж,20,"Моральное удовлетворение, Получение наград или привилегий","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов",регулярно,"Напоминания о следующей сдаче, Личное портфолио","Информация о процессе сдачи, Детали о побочных эффектах"
М,21,Желание помочь другим,Профессионализм и доброжелательность персонала,"Приоритетная запись, Участие в просветительских акциях","Опасения по поводу недостаточного питания, Страх перед долгими ожиданиями","Да, иногда","Запись на сдачу крови, Информация о пунктах сдачи крови поблизости",Статистика о дефиците групп крови
Ж,19,Личный опыт,Удобное местоположение пункта сдачи крови,"Мотивационные программы, Участие в просветительских акциях","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов",никогда,Истории успешных случаев,как моя кровь поможет
М,19,Признание в обществе,"Чистота и удобство помещения, Минимальное время ожидания","Скидки и акции от партнеров, Специальные медали для донора",Страх уколов,Не знаю о таких приложениях,"Просмотр информации о том, как моя кровь помогла, Напоминания о следующей сдаче",Рекомендации по восстановлению
Ж,24,"Желание помочь другим, Моральное удовлетворение","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям",Награды за количество сдач,"Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Да, регулярно","Запись на сдачу крови, Уведомления о потребности в группе крови",Рекомендации по подготовке
М,19,"Социальная ответственность, Личный опыт","Процесс сдачи крови без боли, Профессионализм и доброжелательность персонала","Скидки и акции от партнеров, Приоритетная запись в пунктах сдачи крови",Опасения по поводу безопасности,иногда,"Личное портфолио, Отслеживание прогресса",как моя кровь поможет пациентам
Ж,19,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям",Участие в закрытых мероприятиях для доноров,"Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Нет, никогда",Напоминания о следующей сдаче,"Статистика о дефиците групп крови, Детали о побочных эффектах"
Ж,18,"Благодарность от медицинских учреждений, Получение наград или привилегий",Быстрое и комфортное оформление,"Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Страх перед долгими ожиданиями, Опасения по поводу безопасности","Не знаю о таких приложениях, Да, иногда",Просмотр информации о том,Истории доноров
Ж,24,Признание в обществе,Процесс сдачи крови без боли,Участие в закрытых мероприятиях,Страх уколов,не вижу в этом необходимости,"Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим","Контактные данные для обратной связи, Расписание работы пунктов сдачи крови"
Ж,24,Личный опыт,"Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Скидки и акции от партнеров, Приоритетная запись","Страх, что после сдачи крови буду плохо себя чувствовать, Боязнь боли",Не знаю о таких приложениях,"Интерактивные карты, Вопросы и ответы для новичков",Другое
Ж,18,Моральное удовлетворение,"Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям",Бесплатные медицинские обследования,"Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов",регулярно,"Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим","Информация о процессе сдачи, Детали о побочных эффектах"
М,23,Социальная ответственность,Процесс сдачи крови без боли,"Приоритетная запись, Участие в просветительских акциях","Опасения по поводу недостаточного питания, Страх перед долгими ожиданиями","Не знаю о таких приложениях, Да, иногда",Запись на сдачу крови,Статистика о дефиците групп крови
Ж,19,Чувство социальной ответственности,"Возможность записи на сдачу крови заранее, Удобное местоположение пункта сдачи крови",Участие в просветительских акциях,"Боязнь боли, Опасения по поводу безопасности","Нет, никогда","Календарь донорских акций, Истории успешных случаев","Пояснения о том, как моя кровь поможет, Информация о безопасности"
М,21,"Признание в обществе, Получение наград или привилегий","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям",Скидки и акции от партнеров,"Страх перед возможными побочными эффектами, Страх уколов",Не знаю о таких приложениях,"Просмотр информации о том, как моя кровь помогла, Напоминания о следующей сдаче",Контактные данные для обратной связи
Ж,21,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям",Награды за количество сдач,"Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Да, регулярно","Запись на сдачу крови, Уведомления о потребности в группе крови","Информация о процессе сдачи, Рекомендации по подготовке"
М,18,"Социальная ответственность, Личный опыт","Процесс сдачи крови без боли, Профессионализм и доброжелательность персонала","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Опасения по поводу безопасности, Страх перед возможными побочными эффектами","Не знаю о таких приложениях, Да, иногда","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим","Пояснения о том, как моя кровь поможет пациентам, Информация о безопасности сдачи"
М,22,"Желание помочь другим, Признание в обществе",Преимущества для регулярных доноров,Мотивационные программы,"Неуверенность в том, что кровь действительно нужна, Страх, что после сдачи крови буду плохо себя чувствовать","Не знаю о таких приложениях, Да, иногда","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим",Детали о побочных эффектах
М,24,Благодарность от медицинских учреждений,"Быстрое и комфортное оформление, Чистота и удобство помещения","Бесплатные медицинские обследования, Специальные медали для донора","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Нет, но планирую начать","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим","Рекомендации по восстановлению после сдачи, Истории доноров"
Ж,18,Чувство социальной ответственности,Процесс сдачи крови без боли,Участие в закрытых мероприятиях,Страх уколов,не вижу в этом необходимости,"Истории успешных случаев, Возможность общаться с другими донорами",Контактные данные для обратной связи
Ж,24,Желание помочь другим,Процесс сдачи крови без боли,"Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов",Не знаю о таких приложениях,"Интерактивные карты, Вопросы и ответы для новичков",Другое
Ж,20,Моральное удовлетворение,Преимущества для регулярных доноров,"Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Неуверенность в том, что кровь действительно нужна, Страх уколов","Да, регулярно","Напоминания о следующей сдаче, Личное портфолио","Информация о процессе сдачи, Детали о побочных эффектах"
М,19,"Желание помочь другим, Социальная ответственность","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям",Приоритетная запись,"Опасения по поводу недостаточного питания, Страх перед долгими ожиданиями",иногда,Информация о пунктах сдачи крови поблизости,Статистика о дефиците групп крови
Ж,24,Личный опыт,"Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Мотивационные программы, Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами, Страх уколов","Не знаю о таких приложениях, Да, иногда","Календарь донорских акций, Истории успешных случаев",как моя кровь поможет
М,20,Получение наград или привилегий,Минимальное время ожидания,Специальные медали для донора,Страх уколов,"Не знаю о таких приложениях, Да, иногда","Просмотр информации о том, как моя кровь помогла, Напоминания о следующей сдаче","Контактные данные для обратной связи, Рекомендации по восстановлению"
