Пол,Возраст,1. Какие факторы мотивируют вас сдавать кровь?,2. Что для вас наиболее важно в процессе донорства?,3. Какие преимущества вы бы хотели получать как донор?,"4. Есть ли у вас какие-либо опасения или страхи, связанные с процессом сдачи крови?",5. Используете ли вы когда-либо приложения для доноров?,6. Какие функции мобильного приложения или веб-сайта для доноров вы бы хотели использовать?,7. Какой информацией вы бы хотели быть обеспечены перед сдачей крови?
Ж,22,"Желание помочь другим, Моральное удовлетворение, Чувство социальной ответственности","Профессионализм и доброжелательность персонала, Минимальное время ожидания, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Мотивационные программы (например, баллы, которые можно обменять на призы), Возможность участвовать в просветительских акциях","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение)","Нет, никогда","Запись на сдачу крови в удобное время, Истории успешных случаев и отзывы от других доноров","Рекомендации по подготовке к сдаче (например, что и когда нужно есть/пить)"
М,21,"Признание в обществе, Чувство социальной ответственности","Профессионализм и доброжелательность персонала, Минимальное время ожидания","Бесплатные медицинские обследования, Мотивационные программы (например, баллы, которые можно обменять на призы)","Страх уколов, Страх, что после сдачи крови буду плохо себя чувствовать","Да, иногда","Уведомления о потребности в моей группе крови, Напоминания о следующей сдаче крови","Пояснения о том, как моя кровь поможет пациентам"
Ж,19,"Признание в обществе, Чувство социальной ответственности","Удобное местоположение пункта сдачи крови, Возможность записи на сдачу крови заранее","Бесплатные медицинские обследования, Участие в закрытых мероприятиях и акциях для доноров, Мотивационные программы (например, баллы, которые можно обменять на призы)","Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение), Недостаток информации о процессе","Да, регулярно","Запись на сдачу крови в удобное время, Интерактивные карты с маршрутами к пунктам сдачи, Просмотр информации о том, как именно моя кровь помогла другим","Детали о возможных побочных эффектах и их предупреждении, Статистика о дефиците групп крови и актуальности сдачи"
Ж,24,"Желание помочь другим, Чувство социальной ответственности","Чистота и удобство помещения, Процесс сдачи крови без боли","Мотивационные программы (например, баллы, которые можно обменять на призы), Возможность участвовать в просветительских акциях","Страх уколов, Страх, что после сдачи крови буду плохо себя чувствовать","Да, иногда","Отслеживание прогресса и достижений (например, количество спасенных жизней), Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим","Рекомендации по восстановлению после сдачи крови, Истории доноров и положительные примеры"
Ж,21,"Желание помочь другим, Признание в обществе, Получение наград или привилегий","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Возможность записи на сдачу крови заранее","Бесплатные медицинские обследования, Награды за количество сдач (например, подарки, сертификаты), Приоритетная запись в пунктах сдачи крови","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение), Опасения по поводу безопасности (например, стерильность инструментов)",Не знаю о таких приложениях,"Отслеживание прогресса и достижений (например, количество спасенных жизней), Интерактивные карты с маршрутами к пунктам сдачи, Возможность общаться с другими донорами",Контактные данные для обратной связи с медицинским учреждением
М,19,"Признание в обществе, Чувство социальной ответственности","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Минимальное время ожидания","Бесплатные медицинские обследования, Участие в закрытых мероприятиях и акциях для доноров","Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение)","Нет, не вижу в этом необходимости","Уведомления о потребности в моей группе крови, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим",Другое (указать)
Ж,25,"Желание помочь другим, Признание в обществе","Процесс сдачи крови без боли, Минимальное время ожидания, Информация о том, как моя кровь поможет людям","Приоритетная запись в пунктах сдачи крови, Возможность участвовать в просветительских акциях, Специальные медали, сертификаты или значки для донора","Боязнь боли, Опасения по поводу безопасности (например, стерильность инструментов)","Да, иногда","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Просмотр информации о том, как именно моя кровь помогла другим",Детали о возможных побочных эффектах и их предупреждении
Ж,24,"Моральное удовлетворение, Другое (указать)","Процесс сдачи крови без боли, Доступность информации о процессе сдачи крови","Скидки и акции от партнеров (например, кафе, магазины), Приоритетная запись в пунктах сдачи крови","Страх уколов, Боязнь боли, Страх, что после сдачи крови буду плохо себя чувствовать","Да, иногда","Запись на сдачу крови в удобное время, Отслеживание прогресса и достижений (например, количество спасенных жизней), Информация о пунктах сдачи крови поблизости",Статистика о дефиците групп крови и актуальности сдачи
Ж,25,"Моральное удовлетворение, Личный опыт (например, спасение близкого человека)","Чистота и удобство помещения, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Возможность участвовать в просветительских акциях","Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение)","Да, иногда","Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений (например, количество спасенных жизней)",Информация о безопасности сдачи крови
Ж,22,"Желание помочь другим, Другое (указать)","Процесс сдачи крови без боли, Наличие дополнительных услуг (например, чай или угощения после сдачи), Информация о том, как моя кровь поможет людям","Приоритетная запись в пунктах сдачи крови, Мотивационные программы (например, баллы, которые можно обменять на призы), Возможность участвовать в просветительских акциях","Боязнь боли, Опасения по поводу безопасности (например, стерильность инструментов)","Нет, не вижу в этом необходимости","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Напоминания о следующей сдаче крови","Рекомендации по восстановлению после сдачи крови, Контактные данные для обратной связи с медицинским учреждением"
Ж,20,"Желание помочь другим, Признание в обществе, Благодарность от медицинских учреждений","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Доступность информации о процессе сдачи крови","Возможность участвовать в просветительских акциях, Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх, что после сдачи крови буду плохо себя чувствовать, Недостаток информации о процессе","Да, иногда","Отслеживание прогресса и достижений (например, количество спасенных жизней), Информация о пунктах сдачи крови поблизости","Информация о процессе сдачи крови (как проходит процедура), Рекомендации по подготовке к сдаче (например, что и когда нужно есть/пить)"
М,21,"Желание помочь другим, Получение наград или привилегий","Профессионализм и доброжелательность персонала, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Страх уколов, Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение)",Не знаю о таких приложениях,"Календарь донорских акций и мероприятий, Информация о пунктах сдачи крови поблизости, Истории успешных случаев и отзывы от других доноров","Пояснения о том, как моя кровь поможет пациентам, Информация о безопасности сдачи крови"
Ж,25,"Желание помочь другим, Признание в обществе","Удобное местоположение пункта сдачи крови, Информация о том, как моя кровь поможет людям","Приоритетная запись в пунктах сдачи крови, Мотивационные программы (например, баллы, которые можно обменять на призы)","Боязнь боли, Страх перед долгими ожиданиями или очередями",Не знаю о таких приложениях,"Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Просмотр информации о том, как именно моя кровь помогла другим","Детали о возможных побочных эффектах и их предупреждении, Статистика о дефиците групп крови и актуальности сдачи"
М,21,"Моральное удовлетворение, Личный опыт (например, спасение близкого человека)","Профессионализм и доброжелательность персонала, Доступность информации о процессе сдачи крови","Скидки и акции от партнеров (например, кафе, магазины), Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Страх уколов, Опасения по поводу безопасности (например, стерильность инструментов)",Не знаю о таких приложениях,"Уведомления о потребности в моей группе крови, Календарь донорских акций и мероприятий, Вопросы и ответы, которые могут помочь новичкам",Рекомендации по восстановлению после сдачи крови
Ж,25,"Признание в обществе, Благодарность от медицинских учреждений","Удобное местоположение пункта сдачи крови, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Скидки и акции от партнеров (например, кафе, магазины)","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение), Опасения по поводу безопасности (например, стерильность инструментов)","Да, иногда","Запись на сдачу крови в удобное время, Отслеживание прогресса и достижений (например, количество спасенных жизней), Напоминания о следующей сдаче крови",Расписание работы пунктов сдачи крови
Ж,25,"Желание помочь другим, Признание в обществе","Чистота и удобство помещения, Процесс сдачи крови без боли, Минимальное время ожидания","Бесплатные медицинские обследования, Возможность участвовать в просветительских акциях","Страх уколов, Боязнь боли",Не знаю о таких приложениях,"Запись на сдачу крови в удобное время, Просмотр информации о том, как именно моя кровь помогла другим, Истории успешных случаев и отзывы от других доноров",Другое (указать)
Ж,22,"Желание помочь другим, Моральное удовлетворение, Признание в обществе","Профессионализм и доброжелательность персонала, Минимальное время ожидания, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Мотивационные программы (например, баллы, которые можно обменять на призы)","Страх перед возможными побочными эффектами (например, головокружение), Опасения по поводу безопасности (например, стерильность инструментов)","Да, иногда","Календарь донорских акций и мероприятий, Возможность общаться с другими донорами","Информация о процессе сдачи крови (как проходит процедура), Детали о возможных побочных эффектах и их предупреждении"
М,19,"Желание помочь другим, Благодарность от медицинских учреждений","Возможность записи на сдачу крови заранее, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Мотивационные программы (например, баллы, которые можно обменять на призы)","Страх уколов, Боязнь боли",Не знаю о таких приложениях,"Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Просмотр информации о том, как именно моя кровь помогла другим","Рекомендации по подготовке к сдаче (например, что и когда нужно есть/пить), Статистика о дефиците групп крови и актуальности сдачи"
Ж,23,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Чистота и удобство помещения, Преимущества для регулярных доноров (например, бесплатные медосмотры)","Бесплатные медицинские обследования, Приоритетная запись в пунктах сдачи крови, Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед долгими ожиданиями или очередями",Не знаю о таких приложениях,"Напоминания о следующей сдаче крови, Информация о пунктах сдачи крови поблизости, Просмотр информации о том, как именно моя кровь помогла другим",Информация о безопасности сдачи крови
Ж,20,"Желание помочь другим, Признание в обществе, Чувство социальной ответственности","Быстрое и комфортное оформление, Доступность информации о процессе сдачи крови, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Страх уколов, Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение)","Да, иногда","Календарь донорских акций и мероприятий, Информация о пунктах сдачи крови поблизости, Просмотр информации о том, как именно моя кровь помогла другим","Рекомендации по восстановлению после сдачи крови, Контактные данные для обратной связи с медицинским учреждением"
Ж,22,"Желание помочь другим, Чувство социальной ответственности","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли","Скидки и акции от партнеров (например, кафе, магазины), Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед долгими ожиданиями или очередями",Не знаю о таких приложениях,"Запись на сдачу крови в удобное время, Просмотр информации о том, как именно моя кровь помогла другим, Возможность общаться с другими донорами","Информация о процессе сдачи крови (как проходит процедура), Рекомендации по подготовке к сдаче (например, что и когда нужно есть/пить)"
Ж,23,"Желание помочь другим, Признание в обществе","Удобное местоположение пункта сдачи крови, Информация о том, как моя кровь поможет людям, Преимущества для регулярных доноров (например, бесплатные медосмотры)","Бесплатные медицинские обследования, Мотивационные программы (например, баллы, которые можно обменять на призы)","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение), Опасения по поводу недостаточного питания или гидратации после сдачи крови","Да, регулярно","Запись на сдачу крови в удобное время, Личное портфолио с данными о количестве сдач крови, Отслеживание прогресса и достижений (например, количество спасенных жизней)","Пояснения о том, как моя кровь поможет пациентам, Информация о безопасности сдачи крови"
Ж,21,"Желание помочь другим, Моральное удовлетворение, Чувство социальной ответственности","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Страх перед возможными побочными эффектами (например, головокружение), Страх, что после сдачи крови буду плохо себя чувствовать, Неуверенность в том, что кровь действительно нужна","Да, регулярно","Уведомления о потребности в моей группе крови, Просмотр информации о том, как именно моя кровь помогла другим","Детали о возможных побочных эффектах и их предупреждении, Статистика о дефиците групп крови и актуальности сдачи"
Ж,24,"Желание помочь другим, Признание в обществе","Быстрое и комфортное оформление, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Боязнь боли, Опасения по поводу безопасности (например, стерильность инструментов)","Нет, но планирую начать","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Возможность общаться с другими донорами","Рекомендации по восстановлению после сдачи крови, Истории доноров и положительные примеры"
Ж,21,"Желание помочь другим, Признание в обществе, Личный опыт (например, спасение близкого человека)","Процесс сдачи крови без боли, Минимальное время ожидания, Информация о том, как моя кровь поможет людям","Мотивационные программы (например, баллы, которые можно обменять на призы), Возможность участвовать в просветительских акциях","Страх уколов, Боязнь боли","Да, иногда","Отслеживание прогресса и достижений (например, количество спасенных жизней), Напоминания о следующей сдаче крови, Календарь донорских акций и мероприятий",Расписание работы пунктов сдачи крови
Ж,24,"Признание в обществе, Получение наград или привилегий","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Минимальное время ожидания","Приоритетная запись в пунктах сдачи крови, Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Страх уколов, Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение)","Да, иногда","Запись на сдачу крови в удобное время, Напоминания о следующей сдаче крови, Календарь донорских акций и мероприятий",Другое (указать)
Ж,20,"Желание помочь другим, Моральное удовлетворение","Чистота и удобство помещения, Процесс сдачи крови без боли","Бесплатные медицинские обследования, Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение), Страх, что после сдачи крови буду плохо себя чувствовать","Да, иногда","Запись на сдачу крови в удобное время, Календарь донорских акций и мероприятий, Истории успешных случаев и отзывы от других доноров",Информация о процессе сдачи крови (как проходит процедура)
М,23,"Благодарность от медицинских учреждений, Чувство социальной ответственности","Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Страх перед возможными побочными эффектами (например, головокружение), Опасения по поводу недостаточного питания или гидратации после сдачи крови","Да, иногда","Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений (например, количество спасенных жизней), Просмотр информации о том, как именно моя кровь помогла другим",Статистика о дефиците групп крови и актуальности сдачи
Ж,20,"Благодарность от медицинских учреждений, Чувство социальной ответственности","Чистота и удобство помещения, Минимальное время ожидания, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Участие в закрытых мероприятиях и акциях для доноров","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение)","Да, регулярно","Календарь донорских акций и мероприятий, Интерактивные карты с маршрутами к пунктам сдачи, Просмотр информации о том, как именно моя кровь помогла другим",Информация о безопасности сдачи крови
М,22,"Желание помочь другим, Чувство социальной ответственности","Профессионализм и доброжелательность персонала, Преимущества для регулярных доноров (например, бесплатные медосмотры)","Скидки и акции от партнеров (например, кафе, магазины), Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение)","Нет, не вижу в этом необходимости","Напоминания о следующей сдаче крови, Интерактивные карты с маршрутами к пунктам сдачи","Рекомендации по восстановлению после сдачи крови, Контактные данные для обратной связи с медицинским учреждением"
Ж,24,"Признание в обществе, Благодарность от медицинских учреждений","Удобное местоположение пункта сдачи крови, Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли","Бесплатные медицинские обследования, Скидки и акции от партнеров (например, кафе, магазины), Мотивационные программы (например, баллы, которые можно обменять на призы)","Страх перед возможными побочными эффектами (например, головокружение), Страх, что после сдачи крови буду плохо себя чувствовать, Страх перед долгими ожиданиями или очередями","Нет, никогда","Напоминания о следующей сдаче крови, Просмотр информации о том, как именно моя кровь помогла другим, Истории успешных случаев и отзывы от других доноров","Информация о процессе сдачи крови (как проходит процедура), Рекомендации по подготовке к сдаче (например, что и когда нужно есть/пить)"
М,22,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Чистота и удобство помещения, Процесс сдачи крови без боли","Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение)","Да, иногда","Личное портфолио с данными о количестве сдач крови, Отслеживание прогресса и достижений (например, количество спасенных жизней), Интерактивные карты с маршрутами к пунктам сдачи","Пояснения о том, как моя кровь поможет пациентам"
Ж,25,"Моральное удовлетворение, Признание в обществе, Личный опыт (например, спасение близкого человека)","Удобное местоположение пункта сдачи крови, Процесс сдачи крови без боли","Скидки и акции от партнеров (например, кафе, магазины), Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Страх уколов, Боязнь боли","Да, иногда","Уведомления о потребности в моей группе крови, Календарь донорских акций и мероприятий","Детали о возможных побочных эффектах и их предупреждении, Статистика о дефиците групп крови и актуальности сдачи"
М,25,"Личный опыт (например, спасение близкого человека), Получение наград или привилегий","Чистота и удобство помещения, Информация о том, как моя кровь поможет людям, Преимущества для регулярных доноров (например, бесплатные медосмотры)","Бесплатные медицинские обследования, Скидки и акции от партнеров (например, кафе, магазины)","Страх уколов, Неуверенность в том, что кровь действительно нужна","Да, регулярно","Запись на сдачу крови в удобное время, Напоминания о следующей сдаче крови, Календарь донорских акций и мероприятий","Рекомендации по восстановлению после сдачи крови, Истории доноров и положительные примеры"
Ж,23,"Желание помочь другим, Моральное удовлетворение","Возможность записи на сдачу крови заранее, Информация о том, как моя кровь поможет людям, Преимущества для регулярных доноров (например, бесплатные медосмотры)","Бесплатные медицинские обследования, Мотивационные программы (например, баллы, которые можно обменять на призы)","Боязнь боли, Опасения по поводу безопасности (например, стерильность инструментов)",Не знаю о таких приложениях,"Уведомления о потребности в моей группе крови, Личное портфолио с данными о количестве сдач крови, Просмотр информации о том, как именно моя кровь помогла другим",Расписание работы пунктов сдачи крови
Ж,21,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Информация о том, как моя кровь поможет людям, Преимущества для регулярных доноров (например, бесплатные медосмотры)","Бесплатные медицинские обследования, Скидки и акции от партнеров (например, кафе, магазины), Специальные медали, сертификаты или значки для донора","Опасения по поводу безопасности (например, стерильность инструментов), Опасения по поводу недостаточного питания или гидратации после сдачи крови","Да, иногда","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Истории успешных случаев и отзывы от других доноров",Другое (указать)
Ж,24,"Желание помочь другим, Моральное удовлетворение, Личный опыт (например, спасение близкого человека)","Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Награды за количество сдач (например, подарки, сертификаты), Специальные медали, сертификаты или значки для донора","Страх уколов, Страх, что после сдачи крови буду плохо себя чувствовать",Не знаю о таких приложениях,"Уведомления о потребности в моей группе крови, Календарь донорских акций и мероприятий",Детали о возможных побочных эффектах и их предупреждении
Ж,19,"Признание в обществе, Чувство социальной ответственности","Процесс сдачи крови без боли, Минимальное время ожидания","Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Страх перед возможными побочными эффектами (например, головокружение), Опасения по поводу безопасности (например, стерильность инструментов)","Да, регулярно","Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Просмотр информации о том, как именно моя кровь помогла другим","Рекомендации по подготовке к сдаче (например, что и когда нужно есть/пить), Статистика о дефиците групп крови и актуальности сдачи"
Ж,19,"Желание помочь другим, Личный опыт (например, спасение близкого человека), Чувство социальной ответственности","Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Страх уколов, Боязнь боли, Страх перед долгими ожиданиями или очередями","Да, регулярно","Запись на сдачу крови в удобное время, Отслеживание прогресса и достижений (например, количество спасенных жизней)","Пояснения о том, как моя кровь поможет пациентам, Информация о безопасности сдачи крови"
Ж,23,"Благодарность от медицинских учреждений, Чувство социальной ответственности","Удобное местоположение пункта сдачи крови, Быстрое и комфортное оформление, Процесс сдачи крови без боли","Награды за количество сдач (например, подарки, сертификаты), Мотивационные программы (например, баллы, которые можно обменять на призы)","Страх уколов, Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение)","Да, иногда","Уведомления о потребности в моей группе крови, Просмотр информации о том, как именно моя кровь помогла другим, Истории успешных случаев и отзывы от других доноров","Рекомендации по восстановлению после сдачи крови, Контактные данные для обратной связи с медицинским учреждением"
Ж,25,"Желание помочь другим, Признание в обществе, Другое (указать)","Профессионализм и доброжелательность персонала, Минимальное время ожидания","Бесплатные медицинские обследования, Награды за количество сдач (например, подарки, сертификаты), Специальные медали, сертификаты или значки для донора","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение), Недостаток информации о процессе","Нет, не вижу в этом необходимости","Уведомления о потребности в моей группе крови, Информация о пунктах сдачи крови поблизости, Просмотр информации о том, как именно моя кровь помогла другим","Информация о процессе сдачи крови (как проходит процедура), Рекомендации по подготовке к сдаче (например, что и когда нужно есть/пить)"
Ж,23,"Желание помочь другим, Получение наград или привилегий","Чистота и удобство помещения, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Участие в закрытых мероприятиях и акциях для доноров, Возможность участвовать в просветительских акциях","Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение), Страх, что после сдачи крови буду плохо себя чувствовать","Да, иногда","Уведомления о потребности в моей группе крови, Просмотр информации о том, как именно моя кровь помогла другим, Истории успешных случаев и отзывы от других доноров","Пояснения о том, как моя кровь поможет пациентам, Информация о безопасности сдачи крови"
Ж,20,"Моральное удовлетворение, Признание в обществе","Профессионализм и доброжелательность персонала, Возможность записи на сдачу крови заранее","Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение), Недостаток информации о процессе","Нет, но планирую начать","Запись на сдачу крови в удобное время, Просмотр информации о том, как именно моя кровь помогла другим","Детали о возможных побочных эффектах и их предупреждении, Статистика о дефиците групп крови и актуальности сдачи"
